Date,Open,High,Low,Close,Volume,Adj Close
2011-02-22,6014.799805,6028.600098,5926.600098,5996.799805,769147500,5996.799805
2011-02-21,6083.00,6105.799805,6013.100098,6014.799805,629790600,6014.799805
2011-02-18,6087.399902,6096.799805,6048.799805,6083.00,802223000,6083.00
2011-02-17,6085.299805,6101.399902,6066.700195,6087.399902,1021989100,6087.399902
2011-02-16,6037.100098,6095.799805,6033.50,6085.299805,858245200,6085.299805
2011-02-15,6060.100098,6072.100098,6023.799805,6037.100098,873268200,6037.100098
2011-02-14,6062.899902,6091.50,6042.100098,6060.100098,635408300,6060.100098
2011-02-11,6020.00,6071.399902,5973.399902,6062.899902,822602600,6062.899902
2011-02-10,6052.299805,6052.299805,5986.50,6020.00,821798100,6020.00
2011-02-09,6091.299805,6091.299805,6049.50,6052.299805,923551800,6052.299805
2011-02-08,6051.00,6091.299805,6032.899902,6091.299805,858439600,6091.299805
2011-02-07,5997.399902,6054.100098,5996.600098,6051.00,694875000,6051.00
2011-02-04,5983.299805,6023.399902,5983.299805,5997.399902,763863300,5997.399902
2011-02-03,6000.100098,6000.299805,5951.799805,5983.299805,1033274600,5983.299805
2011-02-02,5957.799805,6020.50,5957.799805,6000.100098,878318400,6000.100098
2011-02-01,5862.899902,5963.700195,5862.899902,5957.799805,963349500,5957.799805
2011-01-31,5881.399902,5881.700195,5815.399902,5862.899902,931414900,5862.899902
2011-01-28,5965.100098,5965.799805,5877.899902,5881.399902,968312100,5881.399902
2011-01-27,5969.200195,5997.299805,5950.700195,5965.100098,819346500,5965.100098
2011-01-26,5917.700195,6003.299805,5917.700195,5969.200195,880021300,5969.200195
2011-01-25,5943.899902,5964.700195,5904.299805,5917.700195,1034224500,5917.700195
2011-01-24,5896.299805,5960.600098,5887.600098,5943.899902,918501600,5943.899902
2011-01-21,5867.899902,5939.299805,5867.899902,5896.299805,1161650600,5896.299805
2011-01-20,5976.700195,5977.50,5867.299805,5867.899902,999116500,5867.899902
2011-01-19,6056.399902,6077.100098,5974.799805,5976.700195,882393000,5976.700195
2011-01-18,5985.700195,6065.700195,5985.50,6056.399902,869099100,6056.399902
2011-01-17,6002.100098,6013.399902,5975.600098,5985.700195,599125200,5985.700195
2011-01-14,6023.899902,6031.700195,5948.50,6002.100098,852945600,6002.100098
2011-01-13,6050.700195,6055.50,6005.50,6023.899902,921442500,6023.899902
2011-01-12,6014.00,6050.700195,6013.899902,6050.700195,1021020800,6050.700195
2011-01-11,5956.299805,6035.899902,5956.299805,6014.00,861069300,6014.00
2011-01-10,5984.299805,5984.299805,5939.899902,5956.299805,662691000,5956.299805
2011-01-07,6019.50,6023.700195,5973.399902,5984.299805,780033100,5984.299805
2011-01-06,6043.899902,6090.50,6004.600098,6019.50,843815800,6019.50
2011-01-05,6013.899902,6043.899902,5964.399902,6043.899902,884510500,6043.899902
2011-01-04,5899.899902,6049.50,5899.899902,6013.899902,950390700,6013.899902
2011-01-03,5899.899902,5899.899902,5899.899902,5899.899902,000,5899.899902
2010-12-31,5971.00,5985.700195,5899.899902,5899.899902,197447000,5899.899902
2010-12-30,5996.399902,6009.799805,5969.700195,5971.00,252316600,5971.00
2010-12-29,6008.899902,6021.50,5977.00,5996.399902,329122200,5996.399902
2010-12-28,6008.899902,6008.899902,6008.899902,6008.899902,000,6008.899902
2010-12-27,6008.899902,6008.899902,6008.899902,6008.899902,000,6008.899902
2010-12-24,5996.100098,6008.899902,5978.200195,6008.899902,66767100,6008.899902
2010-12-23,5983.50,6000.600098,5982.200195,5996.100098,314131700,5996.100098
2010-12-22,5951.799805,5991.899902,5936.299805,5983.50,527260100,5983.50
2010-12-21,5891.600098,5953.899902,5891.100098,5951.799805,541859600,5951.799805
2010-12-20,5871.799805,5913.799805,5865.50,5891.600098,536148500,5891.600098
2010-12-17,5881.100098,5902.50,5857.299805,5871.799805,1431434300,5871.799805
2010-12-16,5882.200195,5907.100098,5862.899902,5881.100098,635565900,5881.100098
2010-12-15,5891.200195,5898.00,5858.100098,5882.200195,781046600,5882.200195
2010-12-14,5860.799805,5891.200195,5847.200195,5891.200195,665056300,5891.200195
2010-12-13,5813.00,5873.700195,5812.899902,5860.799805,562916600,5860.799805
2010-12-10,5808.00,5827.600098,5794.50,5813.00,611914600,5813.00
2010-12-09,5794.50,5838.00,5794.50,5808.00,910240700,5808.00
2010-12-08,5808.50,5826.600098,5774.299805,5794.50,795433900,5794.50
2010-12-07,5770.299805,5850.399902,5769.700195,5808.50,915796600,5808.50
2010-12-06,5745.299805,5785.700195,5728.50,5770.299805,760501400,5770.299805
2010-12-03,5767.600098,5784.299805,5720.200195,5745.299805,758341000,5745.299805
2010-12-02,5642.50,5770.899902,5642.50,5767.600098,1070087500,5767.600098
2010-12-01,5528.299805,5656.200195,5528.299805,5642.50,1141747400,5642.50
2010-11-30,5551.00,5597.00,5519.200195,5528.299805,1312071800,5528.299805
2010-11-29,5668.700195,5722.700195,5551.00,5551.00,1016586000,5551.00
2010-11-26,5698.899902,5699.00,5599.299805,5668.700195,862384300,5668.700195
2010-11-25,5657.100098,5707.899902,5654.700195,5698.899902,556473500,5698.899902
2010-11-24,5581.299805,5671.899902,5573.299805,5657.100098,907509900,5657.100098
2010-11-23,5680.799805,5681.100098,5581.299805,5581.299805,1029344700,5581.299805
2010-11-22,5732.799805,5783.100098,5668.50,5680.799805,772790500,5680.799805
2010-11-19,5768.700195,5774.100098,5684.50,5732.799805,732494100,5732.799805
2010-11-18,5692.600098,5783.00,5692.600098,5768.700195,729396200,5768.700195
2010-11-17,5681.899902,5704.399902,5659.700195,5692.600098,761486100,5692.600098
2010-11-16,5820.399902,5820.399902,5680.899902,5681.899902,871717200,5681.899902
2010-11-15,5796.899902,5832.899902,5755.700195,5820.399902,620872900,5820.399902
2010-11-12,5815.200195,5831.799805,5711.700195,5796.899902,983021500,5796.899902
2010-11-11,5816.899902,5846.50,5792.600098,5815.200195,1091041700,5815.200195
2010-11-10,5875.200195,5877.00,5796.200195,5816.899902,942150500,5816.899902
2010-11-09,5850.00,5902.100098,5847.399902,5875.200195,951025400,5875.200195
2010-11-08,5875.399902,5881.00,5841.299805,5850.00,772245200,5850.00
2010-11-05,5862.799805,5899.399902,5834.00,5875.399902,1106801400,5875.399902
2010-11-04,5749.00,5876.00,5749.00,5862.799805,1079039900,5862.799805
2010-11-03,5757.399902,5773.700195,5730.50,5749.00,825699300,5749.00
2010-11-02,5694.600098,5771.600098,5690.399902,5757.399902,805488200,5757.399902
2010-11-01,5675.200195,5733.00,5667.399902,5694.600098,641764000,5694.600098
2010-10-29,5677.899902,5699.200195,5647.100098,5675.200195,836504200,5675.200195
